AAD,MGQ
AIC,KWA
AIC,MAJ
ALQ,POA
ANA,ASV
ANA,WIL
ANA,ABV
ANA,LOS
ARX,FOR
AUL,KBT
AYJ,AMD
AYJ,BLR
AYJ,MAA
AYJ,DBR
AYJ,DEL
AYJ,JAI
AYJ,CCU
AYJ,BOM
AYJ,PAT
BCB,MGJ
BDG,GUP
BER,TIA
BER,GRZ
BER,SZG
BER,VIE
BER,GYD
BER,BRU
BER,SOF
BER,VAR
BER,PEK
BER,LCA
BER,PFO
BER,CPH
BER,CAI
BER,HRG
BER,RMF
BER,SSH
BER,TLL
BER,HEL
BER,BSL
BER,CMF
BER,LYS
BER,MRS
BER,NCE
BER,CDG
BER,ORY
BER,SXB
BER,KUT
BER,TBS
BER,QCB
BER,CGN
BER,DUS
BER,ERF
BER,FRA
BER,HHN
BER,MUC
BER,NUE
BER,SCN
BER,QCP
BER,QCS
BER,STR
BER,ATH
BER,CFU
BER,HER
BER,RHO
BER,SKG
BER,BUD
BER,KEF
BER,EBL
BER,DUB
BER,TLV
BER,BRI
BER,BLQ
BER,BZO
BER,CTA
BER,BGY
BER,LIN
BER,MXP
BER,NAP
BER,PMO
BER,PSA
BER,FCO
BER,VCE
BER,TSF
BER,VRN
BER,PRN
BER,RIX
BER,BEY
BER,VNO
BER,LUX
BER,MLA
BER,RMO
BER,TGD
BER,RAK
BER,AMS
BER,SKP
BER,BGO
BER,OSL
BER,TOS
BER,KRK
BER,WAW
BER,FAO
BER,FNC
BER,LIS
BER,OPO
BER,DOH
BER,OTP
BER,IAS
BER,BEG
BER,ALC
BER,BCN
BER,FUE
BER,LPA
BER,IBZ
BER,SPC
BER,ACE
BER,MAD
BER,AGP
BER,PMI
BER,TFS
BER,VLC
BER,GOT
BER,ARN
BER,GVA
BER,SMV
BER,ZRH
BER,MIR
BER,TUN
BER,ESB
BER,AYT
BER,GZT
BER,IST
BER,SAW
BER,ADB
BER,DXB
BER,DWC
BER,BRS
BER,EDI
BER,GLA
BER,BQH
BER,LCY
BER,LGW
BER,LHR
BER,LTN
BER,STN
BER,MAN
BER,EMA
BER,MIA
BER,EWR
BER,PBI
BGS,KJA
BIE,GCK
BIE,OMA
BKX,ATY
BLM,LGA
BLM,PHL
BLM,TEB
BLM,PBI
BPA,CEB
BQW,BME
BQW,FIZ
BQW,HCQ
BRB,PHB
BRB,SLZ
BVX,CPS
BWD,AUS
BWD,BNA
BWD,SAT
BYW,OTS
BYW,BLI
BYW,ESD
BYW,LPS
BZX,PKX
BZX,CTU
BZX,CAN
BZX,HAK
BZX,TNA
BZX,KMG
BZX,LJG
BZX,NKG
BZX,NNG
BZX,NGB
BZX,TAO
BZX,PVG
BZX,SZX
BZX,XIY
BZX,YIW
CBI,LST
CEL,POA
CFM,YYC
CFM,YEG
CJZ,REC
CKW,BME
CKW,KTA
CKW,PER
COL,OBN
COL,TRE
CPS,AUS
CPS,BVX
CPS,PWK
CPS,DEN
CPS,MKC
CPS,KNT
CPS,SGF
CQW,TFU
CQW,CAN
CQW,TNA
CQW,NKG
CRU,GND
CRU,SVD
CSL,CUL
CSL,ELP
CSL,PHX
CSL,SCF
CSN,OXR
CSN,SJC
CSN,SCF
CSU,POA
CWF,BTR
CXY,FLL
CYC,BZE
CYC,SPR
CZN,ORT
CZN,TKJ
