Airline,IATA,Key,Hex
AirOne Atlantic,00,1,0001
AirOne Continental,00,2,0002
Bobb Air Freight,01,3,0003
Antrak Air,04,4,0004
Samurai Airlines,07,5,0005
Canadian World,10,6,0006
TUIfly (X3),11,7,0007
12 North,12,8,0008
Eastern Atlantic Virtual Airlines,13,9,0009
Air Salone,20,10,000A
Euro Jet,24,11,000B
88,47,12,000C
Royal European Airlines,69,13,000D
Southjet,76,14,000E
Southjet connect,77,15,000F
Southjet cargo,78,16,0010
All Australia,88,17,0011
Ciao Air,99,18,0012
Amber Air,0A,19,0013
Blue Air,0B,20,0014
Darwin Airline,0D,21,0015
Dummy,0E,22,0016
Global Airlines,0G,23,0017
Jetclub,0J,24,0018
Jetclub,0J,25,0019
All America MX,0M,26,001A
All America BOPY,0P,27,001B
Copenhagen Express,0X,28,001C
All America CO,0Y,29,001D
Amadeus Global Travel Distribution,1A,30,001E
Abacus International,1B,31,001F
Electronic Data Systems,1C,32,0020
OneChina,1C,33,0021
Radixx Solutions International,1D,34,0022
TransRussiaAirlines,1E,35,0023
Travelsky Technology,1E,36,0024
CB Airways UK ( Interliging Flights ),1F,37,0025
INFINI Travel Information,1F,38,0026
Galileo International,1G,39,0027
Hellenic Airways,1H,40,0028
Siren-Travel,1H,41,0029
Deutsche Rettungsflugwacht,1I,42,002A
NetJets,1I,43,002B
Novair,1I,44,002C
Pegasus Hava Tasimaciligi,1I,45,002D
Sierra Nevada Airlines,1I,46,002E
Sky Trek International Airlines,1I,47,002F
Sky Trek International Airlines,1I,48,0030
BudgetAir,1K,49,0031
Southern Cross Distribution,1K,50,0032
Sutra,1K,51,0033
Open Skies Consultative Commission,1L,52,0034
JSC Transport Automated Information Systems,1M,53,0035
Navitaire,1N,54,0036
Worldspan,1P,55,0037
Sirena,1Q,56,0038
All America CL,1R,57,0039
Hainan Phoenix Information Systems,1R,58,003A
Sabre,1S,59,003B
1Time Airline,1T,60,003C
ITA Software,1U,61,003D
Polyot Sirena,1U,62,003E
Island Express Air,1X,63,003F
All America BR,1Y,64,0040
Sabre Pacific,1Z,65,0041
Deutsche Bahn,2A,66,0042
Aerocondor,2B,67,0043
SNCF,2C,68,0044
Aero VIP,2D,69,0045
Aero VIP (2D),2D,70,0046
Alaniya Airlines,2D,71,0047
Frontier Flying Service,2F,72,0048
Cargoitalia,2G,73,0049
San Juan Airlines,2G,74,004A
Thalys,2H,75,004B
Star Peru (2I),2I,76,004C
Air Burkina,2J,77,004D
Aerolineas Galapagos (Aerogal),2K,78,004E
Helvetic Airways,2L,79,004F
Moldavian Airlines,2M,80,0050
NextJet,2N,81,0051
Air Salone,2O,82,0052
Air Philippines,2P,83,0053
Air Cargo Carriers,2Q,84,0054
All America AR,2R,85,0055
VIA Rail Canada,2R,86,0056
Air Carnival,2S,87,0057
Island Express,2S,88,0058
Star Equatorial Airlines,2S,89,0059
Haiti Ambassador Airlines,2T,90,005A
Air Guinee Express,2U,91,005B
Welcome Air,2W,92,005C
Regionalia Uruguay,2X,93,005D
Air Andaman (2Y),2Y,94,005E
Changan Airlines,2Z,95,005F
JobAir,3B,96,0060
RegionsAir,3C,97,0061
Palair Macedonia,3D,98,0062
Palair Macedonia (3D),3D,99,0063
Air Choice One,3E,100,0064
Fly Colombia ( Interliging Flights ),3F,101,0065
Atlant-Soyuz Airlines,3G,102,0066
Air Inuit,3H,103,0067
Air Comet Chile,3I,104,0068
Zip,3J,105,0069
Jetstar Asia Airways,3K,106,006A
Intersky,3L,107,006B
Silver Airways (3M),3M,108,006C
Air Urga,3N,109,006D
Air Arabia Maroc,3O,110,006E
Tiara Air,3P,111,006F
Yunnan Airlines,3Q,112,0070
Moskovia Airlines,3R,113,0071
Aeroland Airways,3S,114,0072
Air Antilles Express,3S,115,0073
Turan Air,3T,116,0074
Sichuan Airlines,3U,117,0075
3 Valleys Airlines,3V,118,0076
TNT Airways,3V,119,0077
Euromanx Airways,3W,120,0078
Malawian Airlines,3W,121,0079
Aguilar Connect,3X,122,007A
Air Kiribati,4A,123,007B
Boutique Air (Priv),4B,124,007C
Aires,4C,125,007D
Air Sinai,4D,126,007E
Stabo Air,4E,127,007F
Air City,4F,128,0080
Advance Leasing Company,4G,129,0081
Gazpromavia,4G,130,0082
United Airways,4H,131,0083
Askari Aviation,4K,132,0084
Euroline,4L,133,0085
LAN Argentina,4M,134,0086
Air North Charter - Canada,4N,135,0087
Interjet (ABC Aerolineas),4O,136,0088
Business Aviation,4P,137,0089
Safi Airlines,4Q,138,008A
Hamburg International,4R,139,008B
Finalair Congo,4S,140,008C
Vuola Italia,4S,141,008D
Belair Airlines,4T,142,008E
Germanwings,4U,143,008F
Allied Air,4W,145,0091
Red Jet Mexico,4X,144,0090
Airbus France,4Y,146,0092
Airlink (SAA),4Z,147,0093
Alpine Air Express,5A,148,0094
Bassaka airlines,5B,149,0095
CAL Cargo Air Lines,5C,150,0096
Aerolitoral,5D,151,0097
DonbassAero,5D,152,0098
SGA Airlines,5E,153,0099
Arctic Circle Air Service,5F,154,009A
Skyservice Airlines,5G,155,009B
Fly540,5H,156,009C
Cebu Pacific,5J,157,009D
Hi Fly,5K,158,009E
Hi Fly (5K),5K,159,009F
Aerosur,5L,160,00A0
Sibaviatrans,5M,161,00A1
Aeroflot-Nord,5N,162,00A2
Pal airlines,5P,163,00A3
BQB Lineas Aereas,5Q,164,00A4
RUTACA,5R,165,00A5
Canadian North,5T,166,00A6
Transportes Aereos Guatemaltecos,5U,167,00A7
Lviv Airlines,5V,168,00A8
Astraeus,5W,169,00A9
United Parcel Service,5X,170,00AA
Atlas Air,5Y,171,00AB
Bismillah Airlines,5Z,172,00AC
VivaColombia,5Z,173,00AD
Consorcio Aviaxsa,6A,174,00AE
TUIfly Nordic,6B,175,00AF
Vuela Cuba,6C,176,00B0
Pelita,6D,177,00B1
IndiGo Airlines,6E,178,00B2
MAT Airways,6F,179,00B3
Air Wales,6G,180,00B4
Israir,6H,181,00B5
Fly 6ix,6I,182,00B6
International Business Air,6I,183,00B7
Skynet Asia Airways,6J,184,00B8
Asian Spirit,6K,185,00B9
Aklak Air,6L,186,00BA
Nordic Regional,6N,187,00BB
Club Air,6P,188,00BC
Gryphon Airlines,6P,189,00BD
Slovak Airlines,6Q,190,00BE
Alrosa Mirny Air Enterprise,6R,191,00BF
SaudiGulf Airlines,6S,192,00C0
Air Mandalay,6T,193,00C1
Air Cargo Germany,6U,194,00C2
Air Ukraine,6U,195,00C3
Air Vegas,6V,196,00C4
Axis Airways,6V,197,00C5
Mars RK,6V,198,00C6
Via Conectia Airlines,6V,199,00C7
Saratov Aviation Division,6W,200,00C8
SmartLynx Airlines,6Y,201,00C9
Ukrainian Cargo Airways,6Z,202,00CA
Aztec Worldwide Airlines,7A,203,00CB
Krasnojarsky Airlines,7B,204,00CC
Jeju Air,7C,205,00CD
Aeroline GmbH,7E,206,00CE
First Air,7F,207,00CF
Star Flyer,7G,208,00D0
Era Alaska,7H,209,00D1
Insel Air (7I/INC) (Priv),7I,210,00D2
Tajik Air,7J,211,00D3
Kogalymavia Air Company,7K,212,00D4
Sun D'Or,7L,213,00D5
Mongolian International Air Lines ,7M,214,00D6
Centavia,7N,215,00D7
All Colombia,7O,216,00D8
Galaxy Air,7O,217,00D9
Metro Batavia,7P,218,00DA
Pan Am World Airways Dominicana,7Q,219,00DB
BRA-Transportes Aereos,7R,220,00DC
Svyaz Rossiya,7R,221,00DD
Ryan Air,7S,222,00DE
Air Glaciers,7T,223,00DF
Tobruk Air,7T,224,00E0
ROYAL BRITAIN,7V,225,00E1
Wayraper,7W,226,00E2
Med Airways,7Y,227,00E3
Halcyonair,7Z,228,00E4
Atlas Blue,8A,229,00E5
BusinessAir,8B,230,00E6
Caribbean Star Airlines,8B,231,00E7
Air Horizon,8C,232,00E8
Air Transport International,8C,233,00E9
Shanxi Airlines,8C,234,00EA
Astair,8D,235,00EB
Expo Aviation,8D,236,00EC
Servant Air,8D,237,00ED
Bering Air,8E,238,00EE
Fischer Air,8F,239,00EF
STP Airways,8F,240,00F0
Heli France,8H,241,00F1
Myway Airlines,8I,242,00F2
Jet4You,8J,243,00F3
Komiinteravia,8J,244,00F4
Voestar,8K,245,00F5
Cargo Plus Aviation,8L,246,00F6
Redhill Aviation,8L,247,00F7
Maxair,8M,248,00F8
Myanmar Airways International,8M,249,00F9
Barents AirLink,8N,250,00FA
West Coast Air,8O,251,00FB
Pacific Coastal Airline,8P,252,00FC
Baker Aviation,8Q,253,00FD
Maldivian Air Taxi,8Q,254,00FE
Onur Air,8Q,255,00FF
Princess Air,8Q,256,0100
TRIP Linhas A,8R,257,0101
Scorpio Aviation,8S,258,0102
Air Tindi,8T,259,0103
Afriqiyah Airways,8U,260,0104
Astral Aviation,8V,261,0105
Wright Air Service,8V,262,0106
BAX Global,8W,263,0107
Private Wings Flugcharter,8W,264,0108
Air Burundi,8Y,265,0109
China Postal Airlines,8Y,266,010A
Linea Aerea de Servicio Ejecutivo Regional,8Z,267,010B
Wizz Air Hungary,8Z,268,010C
Air Atlantic,9A,269,010D
All Africa,9A,270,010E
China SSS,9C,271,010F
Genghis Khan Airlines,9D,272,0110
Pinnacle Airlines,9E,273,0111
Tramm Airlines,9F,274,0112
MDLR Airlines,9H,275,0113
International Europe,9I,276,0114
Thai Sky Airlines,9I,277,0115
Regionalia Chile,9J,278,0116
Cape Air,9K,279,0117
Colgan Air,9L,280,0118
Central Mountain Air,9M,281,0119
Regional Air Iceland,9N,282,011A
National Airways Cameroon,9O,283,011B
Pelangi ,9P,284,011C
PB Air,9Q,285,011D
Phuket Air,9R,286,011E
SATENA,9R,287,011F
Spring Airlines,9S,288,0120
Transwest Air,9T,289,0121
Air Moldova,9U,290,0122
Volotea Costa Rica,9V,291,0123
Jet Airways,9W,292,0124
Itali Airlines,9X,293,0125
Regionalia Venezuela,9X,294,0126
Air Kazakhstan,9Y,295,0127
BA Euroflyer,A0,296,0128
Atifly,A1,297,0129
All America,A2,298,012A
Cielos Airlines,A2,299,012B
Aegean Airlines,A3,300,012C
Southern Winds Airlines,A4,301,012D
Airlinair,A5,302,012E
Air Alps Aviation,A6,303,012F
Air Alps Aviation (A6),A6,304,0130
Air Plus Comet,A7,305,0131
Benin Golf Air,A8,306,0132
Georgian Airways,A9,307,0133
American Airlines,AA,308,0134
Air Berlin,AB,309,0135
Air Canada,AC,310,0136
Air Paradise International,AD,311,0137
