Registration,Compatability,Brand,Type,Age,Key,Hex
0,0,No Data,No Data,0,0,0000
N10156,10156,Embraer,EMB-145XR,20,1,0001
N101DQ,101DQ,Airbus,A321-200,4,2,0002
N101DU,101DU,Airbus,A220-100,6,3,0003
N101HQ,101HQ,Embraer,ERJ 175LR,17,4,0004
N101NN,101NN,Airbus,A321-200,11,5,0005
N102DN,102DN,Airbus,A321-200,4,6,0006
N102DU,102DU,Airbus,A220-100,6,7,0007
N102HQ,102HQ,Embraer,ERJ 175LR,17,8,0008
N102NN,102NN,Airbus,A321-200,11,9,0009
N102UW,102UW,Airbus,A320-200,26,10,000A
N103DU,103DU,Airbus,A220-100,6,11,000B
N103DY,103DY,Airbus,A321-200,4,12,000C
N103HQ,103HQ,Embraer,ERJ 175LR,17,13,000D
N103NN,103NN,Airbus,A321-200,11,14,000E
N103SY,103SY,Embraer,ERJ 175LR,10,15,000F
N103US,103US,Airbus,A320-200,25,16,0010
N104DN,104DN,Airbus,A321-200,4,17,0011
N104DU,104DU,Airbus,A220-100,6,18,0012
N104HQ,104HQ,Embraer,ERJ 175LR,17,19,0013
N104NN,104NN,Airbus,A321-200,11,20,0014
N104UW,104UW,Airbus,A320-200,25,21,0015
N105DU,105DU,Airbus,A220-100,5,22,0016
N105DX,105DX,Airbus,A321-200,4,23,0017
N105HQ,105HQ,Embraer,ERJ 175LR,17,24,0018
N105NK,105NK,Airbus Heli,MBB-BK 117 C-2,4,25,0019
N105NN,105NN,Airbus,A321-200,11,26,001A
N105SY,105SY,Embraer,ERJ 175LR,10,27,001B
N105UW,105UW,Airbus,A320-200,25,28,001C
N106DN,106DN,Airbus,A321-200,4,29,001D
N106DU,106DU,Airbus,A220-100,5,30,001E
N106HQ,106HQ,Embraer,ERJ 175LR,17,31,001F
N106NN,106NN,Airbus,A321-200,10,32,0020
N106SY,106SY,Embraer,ERJ 175LR,10,33,0021
N107DN,107DN,Airbus,A321-200,4,34,0022
N107DU,107DU,Airbus,A220-100,5,35,0023
N107HQ,107HQ,Embraer,ERJ 175LR,17,36,0024
N107NN,107NN,Airbus,A321-200,10,37,0025
N107SY,107SY,Embraer,ERJ 175LR,10,38,0026
N107US,107US,Airbus,A320-200,25,39,0027
N108DN,108DN,Airbus,A321-200,3,40,0028
N108DQ,108DQ,Airbus,A220-100,5,41,0029
N108HQ,108HQ,Embraer,ERJ 175LR,17,42,002A
N108NN,108NN,Airbus,A321-200,10,43,002B
N108SY,108SY,Embraer,ERJ 175LR,10,44,002C
N108UW,108UW,Airbus,A320-200,25,45,002D
N109DN,109DN,Airbus,A321-200,3,46,002E
N109DU,109DU,Airbus,A220-100,5,47,002F
N109HQ,109HQ,Embraer,ERJ 175LR,17,48,0030
N109NN,109NN,Airbus,A321-200,10,49,0031
N109SY,109SY,Embraer,ERJ 175LR,10,50,0032
N109UW,109UW,Airbus,A320-200,25,51,0033
N110AN,110AN,Airbus,A321-200,10,52,0034
N110DU,110DU,Airbus,A220-100,5,53,0035
N110DX,110DX,Airbus,A321-200,3,54,0036
N110HQ,110HQ,Embraer,ERJ 175LR,17,55,0037
N110SY,110SY,Embraer,ERJ 175LR,10,56,0038
N110UW,110UW,Airbus,A320-200,25,57,0039
N11150,11150,Embraer,EMB-145XR,21,58,003A
N11164,11164,Embraer,EMB-145XR,20,59,003B
N11165,11165,Embraer,EMB-145XR,20,60,003C
N11176,11176,Embraer,EMB-145XR,20,61,003D
N11181,11181,Embraer,EMB-145XR,19,62,003E
N11184,11184,Embraer,EMB-145XR,19,63,003F
N11189,11189,Embraer,EMB-145XR,19,64,0040
N11191,11191,Embraer,EMB-145XR,19,65,0041
N11192,11192,Embraer,EMB-145XR,19,66,0042
N11193,11193,Embraer,EMB-145XR,19,67,0043
N11199,11199,Embraer,EMB-145XR,18,68,0044
N111DC,111DC,Airbus,A321-200,3,69,0045
N111HQ,111HQ,Embraer,ERJ 175LR,17,70,0046
N111NG,111NG,Airbus,A220-100,5,71,0047
N111US,111US,Airbus,A320-200,25,72,0048
N111ZM,111ZM,Airbus,A321-200,10,73,0049
N11206,11206,Boeing,737-800,24,74,004A
N112AN,112AN,Airbus,A321-200,10,75,004B
N112DN,112DN,Airbus,A321-200,3,76,004C
N112DU,112DU,Airbus,A220-100,5,77,004D
N112HQ,112HQ,Embraer,ERJ 175LR,17,78,004E
N112US,112US,Airbus,A320-200,25,79,004F
N113AN,113AN,Airbus,A321-200,10,80,0050
N113DQ,113DQ,Airbus,A220-100,5,81,0051
N113DX,113DX,Airbus,A321-200,3,82,0052
N113HQ,113HQ,Embraer,ERJ 175LR,17,83,0053
N113SY,113SY,Embraer,ERJ 175LR,10,84,0054
N114DN,114DN,Airbus,A321-200,3,85,0055
N114DU,114DU,Airbus,A220-100,5,86,0056
N114HQ,114HQ,Embraer,ERJ 175LR,17,87,0057
N114SY,114SY,Embraer,ERJ 175LR,10,88,0058
N114UW,114UW,Airbus,A320-200,25,89,0059
N115DN,115DN,Airbus,A321-200,3,90,005A
N115DU,115DU,Airbus,A220-100,5,91,005B
N115HQ,115HQ,Embraer,ERJ 175LR,17,92,005C
N115NN,115NN,Airbus,A321-200,10,93,005D
N116AN,116AN,Airbus,A321-200,10,94,005E
N116DN,116DN,Airbus,A321-200,3,95,005F
N116DU,116DU,Airbus,A220-100,5,96,0060
N116HQ,116HQ,Embraer,ERJ 175LR,17,97,0061
N116SY,116SY,Embraer,ERJ 175LR,10,98,0062
N117AN,117AN,Airbus,A321-200,10,99,0063
N117DU,117DU,Airbus,A220-100,5,100,0064
N117DX,117DX,Airbus,A321-200,3,101,0065
N117HQ,117HQ,Embraer,ERJ 175LR,17,102,0066
N117SY,117SY,Embraer,ERJ 175LR,10,103,0067
N117UW,117UW,Airbus,A320-200,24,104,0068
N118DU,118DU,Airbus,A220-100,5,105,0069
N118DY,118DY,Airbus,A321-200,3,106,006A
N118HQ,118HQ,Embraer,ERJ 175LR,17,107,006B
N118NN,118NN,Airbus,A321-200,10,108,006C
N118SY,118SY,Embraer,ERJ 175LR,10,109,006D
N118US,118US,Airbus,A320-200,24,110,006E
N119DN,119DN,Airbus,A321-200,3,111,006F
N119DU,119DU,Airbus,A220-100,5,112,0070
N119HQ,119HQ,Embraer,ERJ 175LR,17,113,0071
N119NN,119NN,Airbus,A321-200,10,114,0072
N119SY,119SY,Embraer,ERJ 175LR,10,115,0073
N119US,119US,Airbus,A320-200,24,116,0074
N12003,12003,Boeing,787-10,6,117,0075
N12004,12004,Boeing,787-10,5,118,0076
N12005,12005,Boeing,787-10,5,119,0077
N12006,12006,Boeing,787-10,5,120,0078
N1200K,1200K,Boeing,767-300,26,121,0079
N12010,12010,Boeing,787-10,5,122,007A
N12012,12012,Boeing,787-10,4,123,007B
N1201P,1201P,Boeing,767-300,26,124,007C
N12020,12020,Boeing,787-10,2,125,007D
N12021,12021,Boeing,787-10,2,126,007E
N12028,12028,Airbus,A319-100,9,127,007F
N120DN,120DN,Airbus,A321-200,3,128,0080
N120DU,120DU,Airbus,A220-100,5,129,0081
N120EE,120EE,Airbus,A321-200,10,130,0082
N120SY,120SY,Embraer,ERJ 175LR,10,131,0083
N12109,12109,Boeing,757-200,30,132,0084
N12114,12114,Boeing,757-200,29,133,0085
N12116,12116,Boeing,757-200,28,134,0086
N12125,12125,Boeing,757-200,26,135,0087
N12135,12135,Embraer,EMB-145XR,21,136,0088
N12136,12136,Embraer,EMB-145XR,21,137,0089
N12142,12142,Embraer,EMB-145XR,21,138,008A
N12145,12145,Embraer,EMB-145XR,21,139,008B
N12160,12160,Embraer,EMB-145XR,20,140,008C
N12163,12163,Embraer,EMB-145XR,20,141,008D
N12167,12167,Embraer,EMB-145XR,20,142,008E
N12175,12175,Embraer,EMB-145XR,20,143,008F
N12195,12195,Embraer,EMB-145XR,19,144,0090
N121AN,121AN,Airbus,A321-200,10,145,0091
N121DU,121DU,Airbus,A220-100,5,146,0092
N121DZ,121DZ,Airbus,A321-200,3,147,0093
N121HQ,121HQ,Embraer,ERJ 175LR,17,148,0094
N121SY,121SY,Embraer,ERJ 175LR,10,149,0095
N121UW,121UW,Airbus,A320-200,24,150,0096
N12201,12201,Embraer,EMB-145XR,18,151,0097
N12216,12216,Boeing,737-800,26,152,0098
N12218,12218,Boeing,737-800,26,153,0099
N12221,12221,Boeing,737-800,26,154,009A
N12225,12225,Boeing,737-800,26,155,009B
N12238,12238,Boeing,737-800,25,156,009C
N122DN,122DN,Airbus,A321-200,3,157,009D
N122DU,122DU,Airbus,A220-100,5,158,009E
N122HQ,122HQ,Embraer,ERJ 175LR,17,159,009F
N122NN,122NN,Airbus,A321-200,10,160,00A0
N122SY,122SY,Embraer,ERJ 175LR,10,161,00A1
N122US,122US,Airbus,A320-200,24,162,00A2
N123DQ,123DQ,Airbus,A220-100,5,163,00A3
N123DW,123DW,Airbus,A321-200,3,164,00A4
N123HQ,123HQ,Embraer,ERJ 175LR,17,165,00A5
N123NN,123NN,Airbus,A321-200,10,166,00A6
N123UW,123UW,Airbus,A320-200,24,167,00A7
N124AA,124AA,Airbus,A321-200,10,168,00A8
N124DU,124DU,Airbus,A220-100,5,169,00A9
N124DX,124DX,Airbus,A321-200,3,170,00AA
N124HQ,124HQ,Embraer,ERJ 175LR,17,171,00AB
N124SY,124SY,Embraer,ERJ 175LR,10,172,00AC
N124US,124US,Airbus,A320-200,24,173,00AD
N125AA,125AA,Airbus,A321-200,10,174,00AE
N125DN,125DN,Airbus,A321-200,3,175,00AF
N125DU,125DU,Airbus,A220-100,5,176,00B0
N125SY,125SY,Embraer,ERJ 175LR,10,177,00B1
N125UW,125UW,Airbus,A320-200,15,178,00B2
N126AN,126AN,Airbus,A321-200,10,179,00B3
N126DN,126DN,Airbus,A321-200,3,180,00B4
N126DU,126DU,Airbus,A220-100,5,181,00B5
N126HQ,126HQ,Embraer,ERJ 175LR,16,182,00B6
N126UW,126UW,Airbus,A320-200,15,183,00B7
N12754,12754,Boeing,737-700,22,184,00B8
N127AA,127AA,Airbus,A321-200,10,185,00B9
N127DN,127DN,Airbus,A321-200,3,186,00BA
N127DU,127DU,Airbus,A220-100,5,187,00BB
N127HQ,127HQ,Embraer,ERJ 175LR,16,188,00BC
N127SY,127SY,Embraer,ERJ 175LR,10,189,00BD
N127UW,127UW,Airbus,A320-200,14,190,00BE
N128AN,128AN,Airbus,A321-200,10,191,00BF
N128DN,128DN,Airbus,A321-200,3,192,00C0
N128DU,128DU,Airbus,A220-100,5,193,00C1
N128HQ,128HQ,Embraer,ERJ 175LR,16,194,00C2
N128SY,128SY,Embraer,ERJ 175LR,10,195,00C3
N128UW,128UW,Airbus,A320-200,14,196,00C4
N129AA,129AA,Airbus,A321-200,10,197,00C5
N129DN,129DN,Airbus,A321-200,3,198,00C6
N129DU,129DU,Airbus,A220-100,4,199,00C7
N129HQ,129HQ,Embraer,ERJ 175LR,16,200,00C8
N13013,13013,Boeing,787-10,4,201,00C9
N13014,13014,Boeing,787-10,1,202,00CA
N13018,13018,Boeing,787-10,2,203,00CB
N130AN,130AN,Airbus,A321-200,10,204,00CC
N130DU,130DU,Airbus,A220-100,4,205,00CD
N130SY,130SY,Embraer,ERJ 175LR,9,206,00CE
N13110,13110,Boeing,757-200,30,207,00CF
N13113,13113,Boeing,757-200,29,208,00D0
N13124,13124,Embraer,EMB-145XR,21,209,00D1
N13138,13138,Boeing,757-200,25,210,00D2
N13161,13161,Embraer,EMB-145XR,20,211,00D3
N131DU,131DU,Airbus,A220-100,4,212,00D4
N131EV,131EV,Bombardier,CRJ-900,15,213,00D5
N131HQ,131HQ,Embraer,ERJ 175LR,16,214,00D6
N131NN,131NN,Airbus,A321-200,9,215,00D7
N131SY,131SY,Embraer,ERJ 175LR,9,216,00D8
N13202,13202,Embraer,EMB-145XR,18,217,00D9
N13227,13227,Boeing,737-800,25,218,00DA
N13248,13248,Boeing,737-800,25,219,00DB
N132AN,132AN,Airbus,A321-200,9,220,00DC
N132DU,132DU,Airbus,A220-100,4,221,00DD
N132EV,132EV,Bombardier,CRJ-900,15,222,00DE
N132HQ,132HQ,Embraer,ERJ 175LR,16,223,00DF
N132SY,132SY,Embraer,ERJ 175LR,9,224,00E0
N133AN,133AN,Airbus,A321-200,9,225,00E1
N133DU,133DU,Airbus,A220-100,4,226,00E2
N133EV,133EV,Bombardier,CRJ-900,15,227,00E3
N133HQ,133HQ,Embraer,ERJ 175LR,16,228,00E4
N133SY,133SY,Embraer,ERJ 175LR,9,229,00E5
N134AN,134AN,Airbus,A321-200,9,230,00E6
N134DU,134DU,Airbus,A220-100,4,231,00E7
N134EV,134EV,Bombardier,CRJ-900,15,232,00E8
N134HQ,134HQ,Embraer,ERJ 175LR,16,233,00E9
N134SY,134SY,Embraer,ERJ 175LR,9,234,00EA
N135DQ,135DQ,Airbus,A220-100,4,235,00EB
N135EV,135EV,Bombardier,CRJ-900,15,236,00EC
N135HQ,135HQ,Embraer,ERJ 175LR,16,237,00ED
N135NK,135NK,Eurocopter,EC 135 P2+,18,238,00EE
N135NN,135NN,Airbus,A321-200,9,239,00EF
N135SY,135SY,Embraer,ERJ 175LR,9,240,00F0
N136AN,136AN,Airbus,A321-200,9,241,00F1
N136DQ,136DQ,Airbus,A220-100,4,242,00F2
N136EV,136EV,Bombardier,CRJ-900,15,243,00F3
N136HQ,136HQ,Embraer,ERJ 175LR,16,244,00F4
N136SY,136SY,Embraer,ERJ 175LR,9,245,00F5
N13716,13716,Boeing,737-700,26,246,00F6
N13718,13718,Boeing,737-700,25,247,00F7
N13720,13720,Boeing,737-700,25,248,00F8
N13750,13750,Boeing,737-700,25,249,00F9
N137AA,137AA,Airbus,A321-200,9,250,00FA
N137DU,137DU,Airbus,A220-100,4,251,00FB
N137EV,137EV,Bombardier,CRJ-900,15,252,00FC
N137HQ,137HQ,Embraer,ERJ 175LR,16,253,00FD
N138AN,138AN,Airbus,A321-200,9,254,00FE
N138DU,138DU,Airbus,A220-100,4,255,00FF
N138EV,138EV,Bombardier,CRJ-900,15,256,0100
N138HQ,138HQ,Embraer,ERJ 175LR,16,257,0101
N138SY,138SY,Embraer,ERJ 175LR,9,258,0102
N13954,13954,Boeing,787-9,9,259,0103
N139AN,139AN,Airbus,A321-200,9,260,0104
N139DU,139DU,Airbus,A220-100,3,261,0105
N139SY,139SY,Embraer,ERJ 175LR,9,262,0106
N14001,14001,Boeing,787-10,6,263,0107
N14011,14011,Boeing,787-10,5,264,0108
N14016,14016,Boeing,787-10,2,265,0109
N14019,14019,Boeing,787-10,2,266,010A
N140AN,140AN,Airbus,A321-200,9,267,010B
N140DU,140DU,Airbus,A220-100,3,268,010C
N140SY,140SY,Embraer,ERJ 175LR,9,269,010D
N14102,14102,Boeing,757-200,30,270,010E
N14106,14106,Boeing,757-200,30,271,010F
N14107,14107,Boeing,757-200,30,272,0110
N14115,14115,Boeing,757-200,29,273,0111
N14118,14118,Boeing,757-200,27,274,0112
N14120,14120,Boeing,757-200,27,275,0113
N14125,14125,Embraer,EMB-145XR,21,276,0114
N14143,14143,Embraer,EMB-145XR,21,277,0115
N14148,14148,Embraer,EMB-145XR,21,278,0116
N14153,14153,Embraer,EMB-145XR,21,279,0117
N14158,14158,Embraer,EMB-145XR,20,280,0118
N14162,14162,Embraer,EMB-145XR,20,281,0119
N14168,14168,Embraer,EMB-145XR,20,282,011A
N14173,14173,Embraer,EMB-145XR,20,283,011B
N14174,14174,Embraer,EMB-145XR,20,284,011C
N14177,14177,Embraer,EMB-145XR,19,285,011D
N14179,14179,Embraer,EMB-145XR,19,286,011E
N14180,14180,Embraer,EMB-145XR,19,287,011F
N14186,14186,Embraer,EMB-145XR,19,288,0120
N14188,14188,Embraer,EMB-145XR,19,289,0121
N14198,14198,Embraer,EMB-145XR,18,290,0122
N141DU,141DU,Airbus,A220-100,3,291,0123
N141NN,141NN,Airbus,A321-200,9,292,0124
N141SY,141SY,Embraer,ERJ 175LR,9,293,0125
N14203,14203,Embraer,EMB-145XR,18,294,0126
N14214,14214,Boeing,737-800,26,295,0127
N14219,14219,Boeing,737-800,26,296,0128
N14228,14228,Boeing,737-800,25,297,0129
N14230,14230,Boeing,737-800,25,298,012A
N14231,14231,Boeing,737-800,25,299,012B
N14235,14235,Boeing,737-800,25,300,012C
N14237,14237,Boeing,737-800,25,301,012D
N14240,14240,Boeing,737-800,25,302,012E
N14242,14242,Boeing,737-800,25,303,012F
N14249,14249,Boeing,737-800,25,304,0130
N14250,14250,Boeing,737-800,25,305,0131
N142AN,142AN,Airbus,A321-200,9,306,0132
N142DU,142DU,Airbus,A220-100,2,307,0133
N142SY,142SY,Embraer,ERJ 175LR,9,308,0134
N143AN,143AN,Airbus,A321-200,9,309,0135
N143DU,143DU,Airbus,A220-100,2,310,0136
N143SY,143SY,Embraer,ERJ 175LR,9,311,0137
N144AN,144AN,Airbus,A321-200,9,312,0138
N144DU,144DU,Airbus,A220-100,2,313,0139
N144SY,144SY,Embraer,ERJ 175LR,9,314,013A
N14502,14502,Airbus,A321neo,1,315,013B
N145AN,145AN,Airbus,A321-200,9,316,013C
N145DQ,145DQ,Airbus,A220-100,2,317,013D
N145SY,145SY,Embraer,ERJ 175LR,9,318,013E
N146AA,146AA,Airbus,A321-200,9,319,013F
N146PQ,146PQ,Bombardier,CRJ-900,17,320,0140
N146SY,146SY,Embraer,ERJ 175LR,9,321,0141
N14704,14704,Boeing,737-700,26,322,0142
N14731,14731,Boeing,737-700,25,323,0143
N14735,14735,Boeing,737-700,25,324,0144
N147AA,147AA,Airbus,A321-200,9,325,0145
N147PQ,147PQ,Bombardier,CRJ-900,17,326,0146
N148AN,148AN,Airbus,A321-200,9,327,0147
N148SY,148SY,Embraer,ERJ 175LR,9,328,0148
N149AN,149AN,Airbus,A321-200,9,329,0149
N149SY,149SY,Embraer,ERJ 175LR,9,330,014A
N150NN,150NN,Airbus,A321-200,9,331,014B
N150SY,150SY,Embraer,ERJ 175LR,9,332,014C
N150UW,150UW,Airbus,A321-200,11,333,014D
N151AN,151AN,Airbus,A321-200,9,334,014E
N151SY,151SY,Embraer,ERJ 175LR,9,335,014F
N151UW,151UW,Airbus,A321-200,11,336,0150
N152AA,152AA,Airbus,A321-200,9,337,0151
N152NK,152NK,No Data,No Data,0,338,0152
N152SY,152SY,Embraer,ERJ 175LR,8,339,0153
N152UW,152UW,Airbus,A321-200,11,340,0154
N153AN,153AN,Airbus,A321-200,9,341,0155
N153PQ,153PQ,Bombardier,CRJ-900,17,342,0156
N153SY,153SY,Embraer,ERJ 175LR,8,343,0157
N153UW,153UW,Airbus,A321-200,11,344,0158
N154AA,154AA,Airbus,A321-200,8,345,0159
N154SY,154SY,Embraer,ERJ 175LR,8,346,015A
N154UW,154UW,Airbus,A321-200,11,347,015B
N155NN,155NN,Airbus,A321-200,8,348,015C
N155UW,155UW,Airbus,A321-200,11,349,015D
N156AN,156AN,Airbus,A321-200,8,350,015E
N156SY,156SY,Embraer,ERJ 175LR,8,351,015F
N156UW,156UW,Airbus,A321-200,11,352,0160
N15710,15710,Boeing,737-700,26,353,0161
N15712,15712,Boeing,737-700,26,354,0162
N15751,15751,Boeing,737-700,25,355,0163
N157AA,157AA,Airbus,A321-200,8,356,0164
N157SY,157SY,Embraer,ERJ 175LR,8,357,0165
N157UW,157UW,Airbus,A321-200,11,358,0166
N158AN,158AN,Airbus,A321-200,8,359,0167
N15969,15969,Boeing,787-9,7,360,0168
N159AN,159AN,Airbus,A321-200,8,361,0169
N16008,16008,Boeing,787-10,5,362,016A
N16009,16009,Boeing,787-10,5,363,016B
N1602,N1602,Boeing,767-300,25,364,016C
N1603,N1603,Boeing,767-300,25,365,016D
N1604R,1604R,Boeing,767-300,25,366,016E
N1605,N1605,Boeing,767-300,25,367,016F
N16065,16065,Boeing,767-300,25,368,0170
N160AN,160AN,Airbus,A321-200,8,369,0171
N160SY,160SY,Embraer,ERJ 175LR,8,370,0172
N16147,16147,Embraer,EMB-145XR,21,371,0173
N16149,16149,Embraer,EMB-145XR,21,372,0174
N16151,16151,Embraer,EMB-145XR,21,373,0175
N16170,16170,Embraer,EMB-145XR,20,374,0176
N16178,16178,Embraer,EMB-145XR,19,375,0177
N16183,16183,Embraer,EMB-145XR,19,376,0178
N161AA,161AA,Airbus,A321-200,8,377,0179
N161PQ,161PQ,Bombardier,CRJ-900,16,378,017A
N161SY,161SY,Embraer,ERJ 175LR,8,379,017B
N161UW,161UW,Airbus,A321-200,23,380,017C
N16217,16217,Boeing,737-800,26,381,017D
N16234,16234,Boeing,737-800,25,382,017E
N162AA,162AA,Airbus,A321-200,8,383,017F
N162PQ,162PQ,Bombardier,CRJ-900,16,384,0180
N162SY,162SY,Embraer,ERJ 175LR,8,385,0181
N162UW,162UW,Airbus,A321-200,23,386,0182
N163AA,163AA,Airbus,A321-200,8,387,0183
N163SY,163SY,Embraer,ERJ 175LR,8,388,0184
N163US,163US,Airbus,A321-200,23,389,0185
N164NN,164NN,Airbus,A321-200,8,390,0186
N164SY,164SY,Embraer,ERJ 175LR,8,391,0187
N165NN,165NN,Airbus,A321-200,8,392,0188
N165SY,165SY,Embraer,ERJ 175LR,8,393,0189
N165US,165US,Airbus,A321-200,23,394,018A
N166NN,166NN,Airbus,A321-200,8,395,018B
N166PQ,166PQ,Bombardier,CRJ-900,16,396,018C
N166SY,166SY,Embraer,ERJ 175LR,8,397,018D
N16701,16701,Boeing,737-700,26,398,018E
N16703,16703,Boeing,737-700,26,399,018F
N16709,16709,Boeing,737-700,26,400,0190
N16713,16713,Boeing,737-700,26,401,0191
N16732,16732,Boeing,737-700,25,402,0192
N167AN,167AN,Airbus,A321-200,8,403,0193
N167SY,167SY,Embraer,ERJ 175LR,8,404,0194
N167US,167US,Airbus,A321-200,23,405,0195
N168SY,168SY,Embraer,ERJ 175LR,8,406,0196
N169DZ,169DZ,Boeing,767-300,26,407,0197
N169UW,169UW,Airbus,A321-200,23,408,0198
N17002,17002,Boeing,787-10,6,409,0199
N17015,17015,Boeing,787-10,1,410,019A
N17017,17017,Boeing,787-10,2,411,019B
N170PQ,170PQ,Bombardier,CRJ-900,16,412,019C
N170SY,170SY,Embraer,ERJ 175LR,9,413,019D
N170US,170US,Airbus,A321-200,23,414,019E
N17104,17104,Boeing,757-200,30,415,019F
N17105,17105,Boeing,757-200,30,416,01A0
N17122,17122,Boeing,757-200,27,417,01A1
N17126,17126,Boeing,757-200,26,418,01A2
N17128,17128,Boeing,757-200,26,419,01A3
N17133,17133,Boeing,757-200,26,420,01A4
N17138,17138,Embraer,EMB-145XR,21,421,01A5
N17139,17139,Boeing,757-200,24,422,01A6
N17146,17146,Embraer,EMB-145XR,21,423,01A7
N17159,17159,Embraer,EMB-145XR,20,424,01A8
N17169,17169,Embraer,EMB-145XR,20,425,01A9
N17196,17196,Embraer,EMB-145XR,19,426,01AA
N171DN,171DN,Boeing,767-300,34,427,01AB
N171DZ,171DZ,Boeing,767-300,26,428,01AC
N171SY,171SY,Embraer,ERJ 175LR,9,429,01AD
N171US,171US,Airbus,A321-200,23,430,01AE
N17229,17229,Boeing,737-800,25,431,01AF
N17233,17233,Boeing,737-800,25,432,01B0
N17244,17244,Boeing,737-800,25,433,01B1
N17245,17245,Boeing,737-800,25,434,01B2
N17254,17254,Boeing,737 MAX 8,3,435,01B3
N17262,17262,Boeing,737 MAX 8,3,436,01B4
N17264,17264,Boeing,737 MAX 8,3,437,01B5
N17265,17265,Boeing,737 MAX 8,3,438,01B6
N17272,17272,Boeing,737 MAX 8,2,439,01B7
N17279,17279,Boeing,737 MAX 8,2,440,01B8
N17285,17285,Boeing,737 MAX 8,2,441,01B9
N17289,17289,Boeing,737 MAX 8,1,442,01BA
N17294,17294,Boeing,737 MAX 8,1,443,01BB
N17296,17296,Boeing,737 MAX 8,1,444,01BC
N172DN,172DN,Boeing,767-300,34,445,01BD
N172DZ,172DZ,Boeing,767-300,26,446,01BE
N172US,172US,Airbus,A321-200,23,447,01BF
N17300,17300,Boeing,737 MAX 8,1,448,01C0
N17301,17301,Boeing,737 MAX 8,1,449,01C1
N17302,17302,Boeing,737 MAX 8,1,450,01C2
N17303,17303,Boeing,737 MAX 8,1,451,01C3
N17306,17306,Boeing,737 MAX 8,1,452,01C4
N17309,17309,Boeing,737 MAX 8,1,453,01C5
N17310,17310,Boeing,737 MAX 8,1,454,01C6
N17311,17311,Boeing,737 MAX 8,1,455,01C7
N17312,17312,Boeing,737 MAX 8,5,456,01C8
N17314,17314,Boeing,737 MAX 8,1,457,01C9
N17316,17316,Boeing,737 MAX 8,1,458,01CA
N17317,17317,Boeing,737 MAX 8,1,459,01CB
N17320,17320,Boeing,737 MAX 8,1,460,01CC
N17321,17321,Boeing,737 MAX 8,1,461,01CD
N17322,17322,Boeing,737 MAX 8,1,462,01CE
N17326,17326,Boeing,737 MAX 8,1,463,01CF
N17327,17327,Boeing,737 MAX 8,1,464,01D0
N17329,17329,Boeing,737 MAX 8,1,465,01D1
N17333,17333,Boeing,737 MAX 8,1,466,01D2
N173DZ,173DZ,Boeing,767-300,26,467,01D3
N173SY,173SY,Embraer,ERJ 175LR,9,468,01D4
N173US,173US,Airbus,A321-200,23,469,01D5
N174DN,174DN,Boeing,767-300,34,470,01D6
N174DZ,174DZ,Boeing,767-300,26,471,01D7
N174SY,174SY,Embraer,ERJ 175LR,9,472,01D8
N174US,174US,Airbus,A321-200,23,473,01D9
N17529,17529,Boeing,737 MAX 9,3,474,01DA
N17550,17550,Boeing,737 MAX 9,1,475,01DB
N17557,17557,Boeing,737 MAX 9,1,476,01DC
N17564,17564,Boeing,737 MAX 9,1,477,01DD
N17565,17565,Boeing,737 MAX 9,1,478,01DE
N17566,17566,Boeing,737 MAX 9,1,479,01DF
N17574,17574,Boeing,737 MAX 9,1,480,01E0
N175DN,175DN,Boeing,767-300,34,481,01E1
N175DZ,175DZ,Boeing,767-300,25,482,01E2
N175SY,175SY,Embraer,ERJ 175LR,9,483,01E3
N176DN,176DN,Boeing,767-300,34,484,01E4
N176DZ,176DZ,Boeing,767-300,25,485,01E5
N176PQ,176PQ,Bombardier,CRJ-900,16,486,01E6
N176SY,176SY,Embraer,ERJ 175LR,8,487,01E7
N176UW,176UW,Airbus,A321-200,23,488,01E8
N17719,17719,Boeing,737-700,25,489,01E9
N17730,17730,Boeing,737-700,25,490,01EA
N17752,17752,Boeing,737-700,25,491,01EB
N17753,17753,Boeing,737-700,22,492,01EC
N177DN,177DN,Boeing,767-300,33,493,01ED
N177DZ,177DZ,Boeing,767-300,25,494,01EE
N177NK,177NK,No Data,No Data,0,495,01EF
N177SY,177SY,Embraer,ERJ 175LR,8,496,01F0
N177US,177US,Airbus,A321-200,23,497,01F1
N177XF,177XF,Airbus,A319-100,18,498,01F2
N178DN,178DN,Boeing,767-300,33,499,01F3
N178DZ,178DZ,Boeing,767-300,24,500,01F4
N178SY,178SY,Embraer,ERJ 175LR,8,501,01F5
N178US,178US,Airbus,A321-200,23,502,01F6
